"Date (TU)","Valeur (en m³/s)","Statut","Qualification","Méthode","Continuité"
2024-01-01T00:00:00.000Z,"362","16",20,10,0
2024-01-02T00:00:00.000Z,"323","16",20,10,0
2024-01-03T00:00:00.000Z,"294","16",20,10,0
2024-01-04T00:00:00.000Z,"275","16",20,10,0
2024-01-05T00:00:00.000Z,"258","16",20,10,0
2024-01-06T00:00:00.000Z,"237","16",20,10,0
2024-01-07T00:00:00.000Z,"212","16",20,10,0
2024-01-08T00:00:00.000Z,"192","16",20,10,0
2024-01-09T00:00:00.000Z,"194","16",20,10,0
2024-01-10T00:00:00.000Z,"219","16",20,10,0
2024-01-11T00:00:00.000Z,"283","16",20,10,0
2024-01-12T00:00:00.000Z,"398","16",20,10,0
2024-01-13T00:00:00.000Z,"405","16",20,10,0
2024-01-14T00:00:00.000Z,"367","16",20,10,0
2024-01-15T00:00:00.000Z,"335","16",20,10,0
2024-01-16T00:00:00.000Z,"312","16",20,10,0
2024-01-17T00:00:00.000Z,"314","16",20,10,0
2024-01-18T00:00:00.000Z,"339","16",20,10,0
2024-01-19T00:00:00.000Z,"379","16",20,10,0
2024-01-20T00:00:00.000Z,"446","16",20,10,0
2024-01-21T00:00:00.000Z,"495","16",20,10,0
2024-01-22T00:00:00.000Z,"515","16",20,10,0
2024-01-23T00:00:00.000Z,"538","16",20,10,0
2024-01-24T00:00:00.000Z,"554","16",20,10,0
2024-01-25T00:00:00.000Z,"569","16",20,10,0
2024-01-26T00:00:00.000Z,"585","16",20,10,0
2024-01-27T00:00:00.000Z,"596","16",20,10,0
2024-01-28T00:00:00.000Z,"594","16",20,10,0
2024-01-29T00:00:00.000Z,"580","16",20,10,0
2024-01-30T00:00:00.000Z,"554","16",20,10,0
2024-01-31T00:00:00.000Z,"529","16",20,10,0
2024-02-01T00:00:00.000Z,"527","16",20,10,0
2024-02-02T00:00:00.000Z,"525","16",20,10,0
2024-02-03T00:00:00.000Z,"496","16",20,10,0
2024-02-04T00:00:00.000Z,"465","16",20,10,0
2024-02-05T00:00:00.000Z,"433","16",20,10,0
2024-02-06T00:00:00.000Z,"394","16",20,10,0
2024-02-07T00:00:00.000Z,"354","16",20,10,0
2024-02-08T00:00:00.000Z,"330","16",20,10,0
2024-02-09T00:00:00.000Z,"322","16",20,10,0
2024-02-10T00:00:00.000Z,"319","16",20,10,0
2024-02-11T00:00:00.000Z,"315","16",20,10,0
2024-02-12T00:00:00.000Z,"308","16",20,10,0
2024-02-13T00:00:00.000Z,"306","16",20,10,0
2024-02-14T00:00:00.000Z,"301","16",20,10,0
2024-02-15T00:00:00.000Z,"294","16",20,10,0
2024-02-16T00:00:00.000Z,"287","16",20,10,0
2024-02-17T00:00:00.000Z,"291","16",20,10,0
2024-02-18T00:00:00.000Z,"310","16",20,10,0
2024-02-19T00:00:00.000Z,"317","16",20,10,0
2024-02-20T00:00:00.000Z,"298","16",20,10,0
2024-02-21T00:00:00.000Z,"269","16",20,10,0
2024-02-22T00:00:00.000Z,"238","16",20,10,0
2024-02-23T00:00:00.000Z,"211","16",20,10,0
2024-02-24T00:00:00.000Z,"189","16",20,10,0
2024-02-25T00:00:00.000Z,"172","16",20,10,0
2024-02-26T00:00:00.000Z,"158","16",20,10,0
2024-02-27T00:00:00.000Z,"146","16",20,10,0
2024-02-28T00:00:00.000Z,"137","16",20,10,0
2024-02-29T00:00:00.000Z,"132","16",20,10,0
2024-03-01T00:00:00.000Z,"130","16",20,10,0
