"Date (TU)","Valeur (en m³/s)","Statut","Qualification","Méthode","Continuité"
2024-01-01T02:00:00.000Z,"530","8",16,8,0
2024-01-01T05:00:00.000Z,"555","8",16,8,0
2024-01-01T08:00:00.000Z,"547","8",16,8,0
2024-01-01T11:00:00.000Z,"523","8",16,8,0
2024-01-01T14:00:00.000Z,"503","8",16,8,0
2024-01-01T17:00:00.000Z,"485","8",16,8,0
2024-01-01T20:00:00.000Z,"472","8",16,8,0
2024-01-01T23:00:00.000Z,"473","8",16,8,0
2024-01-02T02:00:00.000Z,"479","8",16,8,0
2024-01-02T05:00:00.000Z,"481","8",16,8,0
2024-01-02T08:00:00.000Z,"482","8",16,8,0
2024-01-02T11:00:00.000Z,"485","8",16,8,0
2024-01-02T14:00:00.000Z,"487","8",16,8,0
2024-01-02T17:00:00.000Z,"488","8",16,8,0
2024-01-02T20:00:00.000Z,"487","8",16,8,0
2024-01-02T23:00:00.000Z,"485","8",16,8,0
2024-01-03T02:00:00.000Z,"483","8",16,8,0
2024-01-03T05:00:00.000Z,"503","8",16,8,0
2024-01-03T08:00:00.000Z,"524","8",16,8,0
2024-01-03T11:00:00.000Z,"514","8",16,8,0
2024-01-03T14:00:00.000Z,"508","8",16,8,0
2024-01-03T17:00:00.000Z,"547","8",16,8,0
2024-01-03T20:00:00.000Z,"590","8",16,8,0
2024-01-03T23:00:00.000Z,"599","8",16,8,0
2024-01-04T02:00:00.000Z,"603","8",16,8,0
2024-01-04T05:00:00.000Z,"595","8",16,8,0
2024-01-04T08:00:00.000Z,"558","8",16,8,0
2024-01-04T11:00:00.000Z,"509","8",16,8,0
2024-01-04T14:00:00.000Z,"475","8",16,8,0
2024-01-04T17:00:00.000Z,"490","8",16,8,0
2024-01-04T20:00:00.000Z,"537","8",16,8,0
2024-01-04T23:00:00.000Z,"565","8",16,8,0
2024-01-05T02:00:00.000Z,"584","8",16,8,0
2024-01-05T05:00:00.000Z,"597","8",16,8,0
2024-01-05T08:00:00.000Z,"601","8",16,8,0
2024-01-05T11:00:00.000Z,"589","8",16,8,0
2024-01-05T14:00:00.000Z,"578","8",16,8,0
2024-01-05T17:00:00.000Z,"588","8",16,8,0
2024-01-05T20:00:00.000Z,"620","8",16,8,0
2024-01-05T23:00:00.000Z,"668","8",16,8,0
2024-01-06T02:00:00.000Z,"710","8",16,8,0
2024-01-06T05:00:00.000Z,"719","8",16,8,0
2024-01-06T08:00:00.000Z,"692","8",16,8,0
2024-01-06T11:00:00.000Z,"664","8",16,8,0
2024-01-06T14:00:00.000Z,"664","8",16,8,0
2024-01-06T17:00:00.000Z,"707","8",16,8,0
2024-01-06T20:00:00.000Z,"764","8",16,8,0
2024-01-06T23:00:00.000Z,"794","8",16,8,0
2024-01-07T02:00:00.000Z,"808","8",16,8,0
2024-01-07T05:00:00.000Z,"797","8",16,8,0
2024-01-07T08:00:00.000Z,"763","8",16,8,0
2024-01-07T11:00:00.000Z,"733","8",16,8,0
2024-01-07T14:00:00.000Z,"706","8",16,8,0
2024-01-07T17:00:00.000Z,"694","8",16,8,0
2024-01-07T20:00:00.000Z,"688","8",16,8,0
2024-01-07T23:00:00.000Z,"693","8",16,8,0
2024-01-08T02:00:00.000Z,"693","8",16,8,0
2024-01-08T05:00:00.000Z,"689","8",16,8,0
2024-01-08T08:00:00.000Z,"663","8",16,8,0
2024-01-08T11:00:00.000Z,"639","8",16,8,0
2024-01-08T14:00:00.000Z,"641","8",16,8,0
2024-01-08T17:00:00.000Z,"656","8",16,8,0
2024-01-08T20:00:00.000Z,"649","8",16,8,0
2024-01-08T23:00:00.000Z,"637","8",16,8,0
2024-01-09T02:00:00.000Z,"647","8",16,8,0
2024-01-09T05:00:00.000Z,"636","8",16,8,0
2024-01-09T08:00:00.000Z,"607","8",16,8,0
2024-01-09T11:00:00.000Z,"588","8",16,8,0
2024-01-09T14:00:00.000Z,"605","8",16,8,0
